Season,Latitude,Longitude
Summer,10.155642023346303,53.63802559414992
Summer,11.55642023346303,7.568555758683743
Summer,11.906614785992218,-106.94698354661791
Summer,13.307392996108959,112.87020109689212
Summer,14.357976653696497,47.71480804387568
Summer,16.108949416342412,-110.89579524680073
Summer,16.108949416342412,34.552102376599606
Summer,17.159533073929964,-7.568555758683743
Summer,17.50972762645914,-114.18647166361974
Summer,18.210116731517502,113.52833638025595
Summer,18.91050583657588,118.13528336380256
Summer,20.311284046692606,-2.3034734917733033
Summer,21.712062256809347,8.22669104204752
Summer,21.712062256809347,84.57038391224864
Summer,22.41245136186771,-123.40036563071298
Summer,25.56420233463035,2.303473491773275
Summer,27.315175097276267,13.49177330895796
Summer,28.715953307392994,-85.22851919561244
Summer,33.96887159533074,47.0566727605119
Summer,37.12062256809338,-149.72577696526508
